fecha_num,Hum_missForest,Tem_missForest
44625.6875,91,11.61111111111111
44625.70138888889,90,11.38888888888889
44625.71527777778,90,11.277777777777777
44625.729166666664,90,11.11111111111111
44625.743055555555,91,11.277777777777777
44625.756944444445,91,10.999999999999998
44625.770833333336,92,11.11111111111111
44625.78472222222,91,11.11111111111111
44625.79861111111,90,11.11111111111111
44625.8125,82.3661387631976,14.519455646896999
44625.82638888889,82.42133333333331,14.547788980230335
44625.84027777778,79.95209022921522,14.64303927655805
44625.854166666664,76,14.11111111111111
44625.868055555555,77,14.5
44625.881944444445,79.75209022921521,14.698039276558053
44625.895833333336,80.73507142857142,14.974526750641333
44625.90972222222,80.02199999999999,14.860817054335831
44625.92361111111,54,19.27777777777778
44625.9375,52,21.22222222222222
44625.95138888889,53,21
44625.96527777778,55,21
44625.979166666664,59,20.38888888888889
44625.993055555555,62,19.72222222222222
44626.006944444445,62,19.777777777777775
44626.020833333336,64,19
44626.03472222222,63,19.61111111111111
44626.04861111111,62,20.11111111111111
44626.0625,49,23.88888888888889
44626.07638888889,49,23.22222222222222
44626.09027777778,46,24.111111111111114
44626.104166666664,42,26
44626.118055555555,48,23.388888888888886
44626.131944444445,46,24.27777777777778
44626.145833333336,44,24.27777777777778
44626.15972222222,52,21.888888888888893
44626.17361111111,52,21.22222222222222
44626.1875,53,21
44626.20138888889,56,20.500000000000004
